PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Danny Green,LAL,33,6'6,215,North Carolina,USA,2009,2,46,61,8.2,3.4,1.4,8.7,2.90%,10.00%,13.30%,56.40%,7.00%,SG-SF,5.60%,-,-,6' 5.25'',6' 6.5'',8' 7'',208,6' 10''
Dante Exum,CLE,24,6'5,214,None,Australia,2014,1,5,35,4.5,1.9,1.1,8.8,2.40%,10.90%,14.50%,57.60%,12.40%,SG,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
Darius Bazley,OKC,20,6'8,208,None,USA,2019,1,23,53,4.5,3.7,0.5,3.3,2.20%,17.30%,13.70%,47.50%,4.60%,PF,3.60%,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
Darius Garland,CLE,20,6'1,192,Vanderbilt,USA,2019,1,5,59,12.3,1.9,3.9,8.7,1.40%,4.60%,20.10%,49.80%,18.20%,PG,-%,-,-,,,,-,
De'Andre Hunter,ATL,22,6'7,225,Virginia,USA,2019,1,4,63,12.3,4.5,1.8,5.5,2.10%,11.60%,17.30%,52.10%,7.90%,,-%,-,-,,,,-,
DeAndre Jordan,BKN,31,6'11,265,Texas A&M,USA,2008,2,35,56,8.3,10.0,1.9,1.8,10.50%,29.30%,13.60%,68.20%,13.20%,C,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6''
DeMar DeRozan,SAS,30,6'6,220,USC,USA,2009,1,9,61,22.2,5.6,5.6,2.7,1.90%,14.20%,26.40%,59.70%,26.10%,SG-SF,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9''
DeMarre Carroll,HOU,33,6'6,215,Missouri,USA,2009,1,27,21,3.5,2.2,0.9,7.7,5.10%,14.30%,15.80%,52.30%,9.90%,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
Delon Wright,DAL,28,6'5,185,Utah,USA,2015,1,20,65,7.3,4.0,3.4,1.9,4.20%,12.60%,14.30%,56.30%,21.70%,PG,6.60%,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5'
Dennis Schroder,OKC,26,6'1,172,None,Germany,2013,1,17,63,19.0,3.7,4.1,6.0,1.00%,10.00%,26.20%,57.30%,22.00%,PG,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75''
Denzel Valentine,CHI,26,6'4,220,Michigan State,USA,2016,1,14,36,6.8,2.1,1.2,5.0,1.60%,13.80%,22.90%,51.10%,14.70%,SG-SF,9.20%,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75''
Deonte Burton,OKC,26,6'4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,34,2.8,1.4,0.3,12.0,2.00%,12.40%,18.40%,42.60%,6.30%,PG,7.65%,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Derrick Favors,NOP,28,6'9,265,Georgia Tech,USA,2010,1,3,45,9.2,9.9,1.7,5.8,12.40%,24.80%,13.90%,62.40%,9.10%,PF,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4''
Derrick Rose,DET,31,6'2,200,Memphis,USA,2008,1,1,50,18.1,2.4,5.6,3.4,2.10%,7.10%,30.30%,55.50%,37.30%,PG,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8''
Derrick Walton Jr.,LAC,25,6'0,185,Michigan,USA,Undrafted,Undrafted,Undrafted,26,2.0,0.6,1.0,0.9,0.70%,5.40%,7.90%,61.70%,15.50%,PG,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Derrick White,SAS,25,6'4,190,Colorado,USA,2017,1,29,61,10.4,3.2,3.4,0.3,2.00%,10.40%,17.50%,58.50%,19.90%,PG,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Devin Booker,PHX,23,6'5,206,Kentucky,USA,2015,1,13,62,26.1,4.2,6.6,1.2,1.20%,10.30%,28.90%,61.70%,29.00%,SG,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Devon Hall,OKC,24,6'5,215,Virginia,USA,2018,2,53,5,1.0,0.2,0.6,46.5,0.00%,4.30%,16.70%,37.00%,17.60%,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
Dewan Hernandez,TOR,23,6'10,235,Miami,USA,2019,2,59,4,1.0,1.8,0.0,0.3,20.00%,33.30%,23.30%,34.00%,0.00%,C,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Dewayne Dedmon,ATL,30,7'0,245,USC,USA,Undrafted,Undrafted,Undrafted,44,5.8,5.7,0.5,0.7,7.50%,24.10%,17.90%,47.30%,4.10%,C,8.35%,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4''
Dillon Brooks,MEM,24,6'7,225,Oregon,Canada,2017,2,45,65,15.7,3.3,2.0,0.3,3.10%,7.50%,24.50%,50.80%,10.00%,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Dion Waiters,LAL,28,6'3,210,Syracuse,USA,2012,1,4,3,9.3,3.7,1.0,13.5,0.00%,20.80%,29.60%,53.00%,12.50%,SG,8.50%,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25''
Donovan Mitchell,UTA,23,6'1,215,Louisville,USA,2017,1,13,63,24.2,4.4,4.2,2.5,2.10%,10.20%,30.50%,56.00%,21.00%,SG,5.90%,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
Donte DiVincenzo,MIL,23,6'4,203,Villanova,USA,2018,1,17,59,9.4,4.9,2.3,13.9,4.10%,14.30%,16.50%,57.00%,13.20%,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
Doug McDermott,IND,28,6'7,225,Creighton,USA,2014,1,11,62,10.4,2.5,1.1,4.0,1.80%,9.80%,18.60%,62.60%,8.00%,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218,6' 9.25''
Draymond Green,GSW,30,6'6,230,Michigan State,USA,2012,2,35,43,8.0,6.2,6.2,7.2,1.80%,19.20%,15.60%,48.90%,31.00%,PF-SF,11.30%,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
