PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Wayne Ellington,NYK,32,4-Jun,207,North Carolina,USA,2009,1,28,36,5.1,1.8,1.2,-3.1,0.70%,10.40%,14.60%,50.90%,11.70%
Wendell Carter Jr.,CHI,21,9-Jun,270,Duke,USA,2018,1,7,43,11.3,9.4,1.2,-0.5,10.20%,21.60%,16.20%,59.00%,6.20%
Wenyen Gabriel,POR,23,9-Jun,205,Kentucky,Sudan,Undrafted,Undrafted,Undrafted,28,2.1,1.6,0.3,-8.8,7.60%,15.20%,13.20%,54.70%,5.30%
Wes Iwundu,ORL,25,6-Jun,195,Kansas State,USA,2017,2,33,45,5.3,2.5,1,0.4,2.60%,10.90%,12.80%,52.10%,7.90%
Wesley Matthews,MIL,33,4-Jun,220,Marquette,USA,Undrafted,Undrafted,Undrafted,62,7.5,2.6,1.5,12,1.30%,7.60%,12.50%,54.50%,7.40%
Will Barton,DEN,29,5-Jun,181,Memphis,USA,2012,2,40,58,15.1,6.3,3.7,5.8,4.00%,14.70%,19.70%,54.90%,15.70%
William Howard,HOU,26,8-Jun,207,None,France,Undrafted,Undrafted,Undrafted,2,0,1,0.5,-51.3,0.00%,25.00%,15.20%,0.00%,20.00%
Willie Cauley-Stein,DAL,26,Jul-00,240,Kentucky,USA,2015,1,6,54,7.2,5.8,1.3,-5.5,7.20%,20.20%,14.40%,58.90%,9.80%
Willy Hernangomez,CHA,26,11-Jun,250,None,Spain,2015,2,35,31,6.1,4.3,0.9,-2.6,10.50%,24.30%,22.20%,57.60%,13.60%
Wilson Chandler,BKN,33,8-Jun,235,DePaul,USA,2007,1,23,35,5.9,4.1,1.1,-6.4,1.40%,16.40%,12.80%,53.10%,8.00%
Yogi Ferrell,SAC,27,Jun-00,178,Indiana,USA,Undrafted,Undrafted,Undrafted,44,4.2,1.1,1.3,-3.3,1.20%,9.10%,18.20%,49.90%,19.00%
Yuta Watanabe,MEM,25,8-Jun,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,16,1.9,1.1,0.3,1.4,5.30%,11.10%,13.80%,46.10%,5.40%
Zach Collins,POR,22,11-Jun,250,Gonzaga,USA,2017,1,10,3,9,4,2,13.1,5.60%,8.20%,13.90%,62.40%,8.30%
Zach LaVine,CHI,25,6-Jun,200,UCLA,USA,2014,1,13,60,25.5,4.8,4.2,-4.4,1.90%,12.50%,31.20%,56.80%,21.80%
Zach Norvell Jr.,LAL,22,5-Jun,205,None,USA,Undrafted,Undrafted,Undrafted,5,2,1.2,0.6,-32.3,0.00%,20.70%,14.70%,40.20%,9.10%
Zhaire Smith,PHI,21,3-Jun,205,Texas Tech,USA,2018,1,16,7,1.1,0.3,0.3,-12.3,0.00%,8.00%,16.50%,31.30%,8.30%
Zion Williamson,NOP,19,6-Jun,284,Duke,USA,2019,1,1,19,23.6,6.8,2.2,10.4,9.30%,11.40%,28.20%,62.40%,11.10%
Zylan Cheatham,NOP,24,5-Jun,220,None,USA,Undrafted,Undrafted,Undrafted,3,1.3,2,0.7,-43.9,3.10%,15.20%,11.40%,40.00%,13.30%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
