PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Theo Pinson,SG-SF,7.35%,9,9,77.0,6' 6.75'',8' 7.5'',211.2,82.75,391,pinsoth01,SG,24,BRK,33,0,365,45,155,0.29,15,80,0.188,30,75,0.4,0.33899999999999997,15,16,0.938,10,44,54,56,17,4,33,35,120
Thomas Bryant,PF-C,9.40%,9.5,10.25,81.5,6' 10.75'',9' 4.5'',247.8,90.0,74,bryanth01,C,22,WAS,38,28,901,184,307,0.599,22,54,0.40700000000000003,162,253,0.64,0.635,70,95,0.737,75,185,260,71,14,33,48,85,460
Thon Maker,PF,6.05%,8.75,9.5,83.75,7' 0.75'',9' 2.5'',216,87.0,304,makerth01,C,22,DET,60,14,776,93,193,0.48200000000000004,22,64,0.344,71,129,0.55,0.539,73,110,0.664,54,113,167,43,25,39,45,102,281
Tim Hardaway Jr.,SG,6.05%,8,9.25,76.5,6' 6.25'',8' 5'',199.4,79.0,191,hardati02,SG,27,DAL,63,50,1815,346,792,0.43700000000000006,185,455,0.40700000000000003,161,337,0.478,0.5539999999999999,121,151,0.8009999999999999,23,175,198,124,39,5,61,105,998
Tobias Harris,SF-PF,8.40%,8.75,9,78.5,6' 7.75'',8' 7.5'',222.8,83.0,198,harrito02,PF,27,PHI,65,65,2243,494,1046,0.47200000000000003,117,323,0.36200000000000004,377,723,0.521,0.528,154,191,0.8059999999999999,54,386,440,205,49,35,97,148,1259
Tony Snell,SF-SG,4.85%,9,9.5,78.0,6' 7.25'',8' 9.5'',198.2,83.5,446,snellto01,SF,28,DET,59,57,1641,170,382,0.445,102,254,0.402,68,128,0.531,0.579,32,32,1.0,9,102,111,127,32,15,31,101,474
Trae Young,PG,5.35%,8,9.25,72.5,6' 1.75'',7' 11.5'',177.8,75.0,511,youngtr01,PG,21,ATL,60,60,2120,546,1249,0.43700000000000006,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778
Treveon Graham,SF,5.50%,8.5,8.25,76.0,6' 5.75'',8' 7'',219.4,82.5,176,grahatr01,SG,26,TOT,55,20,929,87,242,0.36,33,120,0.275,54,122,0.44299999999999995,0.428,36,56,0.643,51,99,150,45,24,6,29,102,243
Trevor Ariza,SG-SF,8.00%,-,-,79.0,6' 8.25'',8' 11.5'',201,86.0,18,arizatr01,SF,34,TOT,53,21,1493,142,324,0.43799999999999994,77,207,0.37200000000000005,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423
Trey Burke,PG,6.90%,8.25,8.75,71.75,6' 1.25'',8' 1.5'',187,77.5,76,burketr01,PG,27,PHI,25,0,329,59,127,0.465,16,38,0.42100000000000004,43,89,0.483,0.528,13,18,0.722,15,20,35,53,7,1,12,21,147
Trey Lyles,PF,12.10%,9.25,10.25,81.0,6' 10.25'',9' 0'',241.2,85.5,299,lylestr01,PF,24,SAS,63,53,1271,153,343,0.446,65,168,0.387,88,175,0.503,0.541,33,45,0.733,71,290,361,69,28,28,39,98,404
Tristan Thompson,PF,6.20%,8.75,9.25,79.5,6' 8.75'',9' 0.5'',227.4,85.25,458,thomptr01,C,28,CLE,57,51,1721,288,562,0.512,9,23,0.391,279,539,0.518,0.52,99,161,0.615,226,351,577,120,33,50,103,124,684
Ty Jerome,PG,6.50%,8.25,9.5,76.25,6' 5.5'',8' 2'',194.4,76.0,247,jeromty01,PG,22,PHO,28,0,315,37,106,0.349,13,47,0.27699999999999997,24,59,0.40700000000000003,0.41,11,14,0.7859999999999999,6,35,41,43,14,3,18,28,98
Tyler Herro,SG,7.10%,8,8.75,76.5,6' 6'',8' 4.5'',192.4,75.25,209,herroty01,SG,20,MIA,47,6,1280,220,532,0.414,99,253,0.391,121,279,0.434,0.507,66,79,0.835,14,173,187,91,30,7,72,59,605
Tyus Jones,PG,6.50%,8.25,8.75,72.5,6' 2'',8' 1'',184.6,77.0,258,jonesty01,PG,23,MEM,65,6,1232,197,429,0.45899999999999996,47,124,0.379,150,305,0.49200000000000005,0.514,43,58,0.741,9,94,103,285,59,6,55,44,484
Victor Oladipo,SG,6.55%,8.75,9.25,75.25,6' 4.25'',8' 4.5'',213.2,81.25,374,oladivi01,SG,27,IND,13,10,337,63,161,0.391,21,69,0.304,42,92,0.457,0.457,32,41,0.78,7,34,41,39,11,3,28,21,179
Wayne Ellington,SG,5.50%,-,-,76.25,6' 5.25'',8' 4'',202.4,78.5,140,ellinwa01,SG,32,NYK,36,1,558,61,174,0.35100000000000003,50,143,0.35,11,31,0.355,0.494,11,13,0.846,4,61,65,44,13,4,18,41,183
Wesley Iwundu,SG-SF,4.00%,8.75,9.5,77.5,6' 6.75'',8' 9.5'',193.4,85.0,237,iwundwe01,SF,25,ORL,45,18,810,77,194,0.397,21,67,0.313,56,127,0.441,0.451,62,76,0.816,23,90,113,46,25,11,18,62,237
Will Barton,SG-SF,4.10%,9,9.5,77.0,6' 6'',8' 6.5'',174.4,81.75,28,bartowi01,SF,29,DEN,58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874
Zach LaVine,PG,4.70%,8.25,8.75,76.5,6' 5.75'',8' 4'',180.9,80.25,280,lavinza01,SG,24,CHI,60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.49700000000000005,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530
